Deze csv werd beperkt tot 2000 resultaten.
Meer gegevens kunnen gevonden worden door de parameter 'pagina' toe te voegen aan de zoekstring.
 Eerste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=1
 Laatste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=76
 Volgende pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=2
id,type,naam,locatie,provincie,gemeente,deelgemeente,nummers,stijl,typologie,context,materiaal,plantensoort,datering,gga_motivatie,personen,gebeurtenissen,themas,geldig vanaf,geldig tot,geldigheid opmerkingen,besluiten,dataverantwoordelijke,toelatingsplichtige handelingen
127183,"Gebied geen archeologie, gewestelijk",Gebied 6398,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 14,,2021-06-30,,,14971,Agentschap Onroerend Erfgoed,nee
146602,"Gebied geen archeologie, gewestelijk",Gebied 6917,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 15,,2022-05-09,,,15023,Agentschap Onroerend Erfgoed,nee
146789,"Gebied geen archeologie, gewestelijk",Gebied 7104,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 15,,2022-05-09,,,15023,Agentschap Onroerend Erfgoed,nee
148176,"Gebied geen archeologie, gewestelijk",Gebied 7847,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 16,,2022-12-08,,,15068,Agentschap Onroerend Erfgoed,nee
148203,"Gebied geen archeologie, gewestelijk",Gebied 7908,"Aalst, Lebbeke (Oost-Vlaanderen), Opwijk (Vlaams-Brabant)","Oost-Vlaanderen, Vlaams-Brabant","Aalst, Lebbeke, Opwijk",Onbepaald,,,,,,,,nota,,Vaststelling GGA 16,,2022-12-08,,,15068,Agentschap Onroerend Erfgoed,nee
148330,"Gebied geen archeologie, gewestelijk",Gebied 8174,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,eindverslag,,Vaststelling GGA 16,,2022-12-08,,,15068,Agentschap Onroerend Erfgoed,nee
148360,"Gebied geen archeologie, gewestelijk",Gebied 7747,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,archeologienota,,Vaststelling GGA 16,,2022-12-08,,,15068,Agentschap Onroerend Erfgoed,nee
148530,"Gebied geen archeologie, gewestelijk",Gebied 7919,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 16,,2022-12-08,,,15068,Agentschap Onroerend Erfgoed,nee
174722,"Gebied geen archeologie, gewestelijk",Gebied 8329,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
174723,"Gebied geen archeologie, gewestelijk",Gebied 8330,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
